name,mean_auc,sem_auc,subNo,auc,xvalIterReported,condNames,which_traintest,roiName,num_results_iter,scramble,trWeights,trWeights_train,trWeights_test
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trW0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49739,0.018575,s21,0.6615,2,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;0;0;1,,
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trW0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49739,0.018575,s22,0.45191,2,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;0;0;1,,
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trW0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49739,0.018575,s23,0.32301,2,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;0;0;1,,
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trW0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49739,0.018575,s24,0.53038,2,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;0;0;1,,
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trW0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49739,0.018575,s25,0.36452,2,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;0;0;1,,
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trW0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49739,0.018575,s26,0.38399,2,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;0;0;1,,
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trW0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50949,0.020361,s01,0.54124,2,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;0;1;0,,
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trW0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50949,0.020361,s03,NaN,2,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;0;1;0,,
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trW0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50949,0.020361,s04,0.48894,2,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;0;1;0,,
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trW0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50949,0.020361,s05,0.43245,2,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;0;1;0,,
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trW0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50949,0.020361,s06,0.51228,2,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;0;1;0,,
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trW0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50949,0.020361,s07,0.39671,2,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;0;1;0,,
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trW0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50949,0.020361,s08,0.40779,2,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;0;1;0,,
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trW0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50949,0.020361,s09,0.6031,2,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;0;1;0,,
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trW0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50949,0.020361,s10,0.3845,2,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;0;1;0,,
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trW0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50949,0.020361,s12,0.51878,2,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;0;1;0,,
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trW0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50949,0.020361,s13,NaN,2,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;0;1;0,,
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trW0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50949,0.020361,s14,0.6723,2,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;0;1;0,,
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trW0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50949,0.020361,s15,0.68801,2,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;0;1;0,,
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trW0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50949,0.020361,s16,0.51095,2,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;0;1;0,,
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trW0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50949,0.020361,s17,0.5331,2,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;0;1;0,,
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trW0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50949,0.020361,s18,0.55188,2,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;0;1;0,,
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trW0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50949,0.020361,s19,0.57898,2,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;0;1;0,,
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trW0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50949,0.020361,s20,0.45804,2,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;0;1;0,,
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trW0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50949,0.020361,s21,0.62487,2,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;0;1;0,,
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trW0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50949,0.020361,s22,0.44644,2,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;0;1;0,,
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trW0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50949,0.020361,s23,0.34108,2,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;0;1;0,,
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trW0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50949,0.020361,s24,0.57154,2,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;0;1;0,,
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trW0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50949,0.020361,s25,0.3458,2,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;0;1;0,,
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trW0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50949,0.020361,s26,0.5007,2,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;0;1;0,,
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trW0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.51872,0.017247,s01,0.49328,2,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;1;0;0,,
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trW0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.51872,0.017247,s03,NaN,2,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;1;0;0,,
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trW0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.51872,0.017247,s04,0.55001,2,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;1;0;0,,
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trW0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.51872,0.017247,s05,0.45758,2,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;1;0;0,,
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trW0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.51872,0.017247,s06,0.4511,2,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;1;0;0,,
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trW0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.51872,0.017247,s07,0.42041,2,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;1;0;0,,
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trW0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.51872,0.017247,s08,0.41326,2,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;1;0;0,,
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trW0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.51872,0.017247,s09,0.47076,2,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;1;0;0,,
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trW0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.51872,0.017247,s10,0.56551,2,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;1;0;0,,
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trW0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.51872,0.017247,s12,0.62449,2,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;1;0;0,,
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trW0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.51872,0.017247,s13,NaN,2,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;1;0;0,,
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trW0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.51872,0.017247,s14,0.59053,2,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;1;0;0,,
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trW0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.51872,0.017247,s15,0.54289,2,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;1;0;0,,
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trW0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.51872,0.017247,s16,0.40461,2,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;1;0;0,,
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trW0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.51872,0.017247,s17,0.71277,2,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;1;0;0,,
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trW0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.51872,0.017247,s18,0.47773,2,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;1;0;0,,
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trW0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.51872,0.017247,s19,0.59245,2,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;1;0;0,,
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trW0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.51872,0.017247,s20,0.42131,2,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;1;0;0,,
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trW0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.51872,0.017247,s21,0.59358,2,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;1;0;0,,
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trW0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.51872,0.017247,s22,0.50461,2,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;1;0;0,,
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trW0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.51872,0.017247,s23,0.48444,2,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;1;0;0,,
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trW0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.51872,0.017247,s24,0.53807,2,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;1;0;0,,
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trW0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.51872,0.017247,s25,0.42724,2,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;1;0;0,,
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trW0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.51872,0.017247,s26,0.5825,2,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;1;0;0,,
