correctsVec,actsVec,actsVec2,desiredsVec,actsOfTrueClass,actsOfFalseClass,actsDifference,guessesVec,signedActs,xval_iter,signedEv,unsignedEv,runsVec,subs
0,0.0017833,0.99822,1,0.0017833,0.99822,-0.99643,2,-0.49822,1,-6.3275,-6.3275,2,1
0,0.0090296,0.99097,1,0.0090296,0.99097,-0.98194,2,-0.49097,1,-4.6982,-4.6982,2,1
0,0.0048706,0.99513,1,0.0048706,0.99513,-0.99026,2,-0.49513,1,-5.3197,-5.3197,2,1
0,0.0065892,0.99341,1,0.0065892,0.99341,-0.98682,2,-0.49341,1,-5.0157,-5.0157,2,1
0,0.0015282,0.99847,1,0.0015282,0.99847,-0.99694,2,-0.49847,1,-6.4821,-6.4821,2,1
0,0.0020136,0.99799,1,0.0020136,0.99799,-0.99597,2,-0.49799,1,-6.2058,-6.2058,2,1
0,0.0075053,0.99249,1,0.0075053,0.99249,-0.98499,2,-0.49249,1,-4.8846,-4.8846,2,1
1,0.00043798,0.99956,2,0.99956,0.00043798,0.99912,2,0.49956,1,-7.7329,7.7329,2,1
1,0.0004123,0.99959,2,0.99959,0.0004123,0.99918,2,0.49959,1,-7.7933,7.7933,2,1
1,0.00065091,0.99935,2,0.99935,0.00065091,0.9987,2,0.49935,1,-7.3365,7.3365,2,1
1,0.00017992,0.99982,2,0.99982,0.00017992,0.99964,2,0.49982,1,-8.6228,8.6228,2,1
1,0.00033091,0.99967,2,0.99967,0.00033091,0.99934,2,0.49967,1,-8.0133,8.0133,2,1
1,0.0015762,0.99842,2,0.99842,0.0015762,0.99685,2,0.49842,1,-6.4512,6.4512,2,1
1,0.00037337,0.99963,2,0.99963,0.00037337,0.99925,2,0.49963,1,-7.8926,7.8926,2,1
1,0.0029281,0.99707,2,0.99707,0.0029281,0.99414,2,0.49707,1,-5.8305,5.8305,2,1
1,0.0033983,0.9966,2,0.9966,0.0033983,0.9932,2,0.4966,1,-5.6811,5.6811,2,1
1,0.00033804,0.99966,2,0.99966,0.00033804,0.99932,2,0.49966,1,-7.992,7.992,2,1
1,0.7979,0.2021,1,0.7979,0.2021,0.5958,1,0.2979,1,1.3732,1.3732,2,1
1,0.86821,0.13179,1,0.86821,0.13179,0.73642,1,0.36821,1,1.8852,1.8852,2,1
1,0.51621,0.48379,1,0.51621,0.48379,0.032426,1,0.016213,1,0.064875,0.064875,2,1
1,0.81766,0.18234,1,0.81766,0.18234,0.63532,1,0.31766,1,1.5006,1.5006,2,1
1,0.8072,0.1928,1,0.8072,0.1928,0.61441,1,0.3072,1,1.4319,1.4319,2,1
0,0.47239,0.52761,1,0.47239,0.52761,-0.055217,2,-0.027609,1,-0.11055,-0.11055,2,1
1,0.81728,0.18272,1,0.81728,0.18272,0.63456,1,0.31728,1,1.498,1.498,2,1
1,0.71492,0.28508,1,0.71492,0.28508,0.42983,1,0.21492,1,0.91938,0.91938,2,1
0,1.155e-07,1,1,1.155e-07,1,-1,2,-0.5,1,-15.974,-15.974,2,1
0,2.0077e-08,1,1,2.0077e-08,1,-1,2,-0.5,1,-17.7237,-17.7237,2,1
0,3.1565e-07,1,1,3.1565e-07,1,-1,2,-0.5,1,-14.9686,-14.9686,2,1
0,4.5841e-08,1,1,4.5841e-08,1,-1,2,-0.5,1,-16.8981,-16.8981,2,1
0,8.5048e-07,1,1,8.5048e-07,1,-1,2,-0.5,1,-13.9775,-13.9775,2,1
0,8.0326e-09,1,1,8.0326e-09,1,-1,2,-0.5,1,-18.6398,-18.6398,2,1
0,5.0633e-07,1,1,5.0633e-07,1,-1,2,-0.5,1,-14.4961,-14.4961,2,1
0,2.3205e-07,1,1,2.3205e-07,1,-1,2,-0.5,1,-15.2763,-15.2763,2,1
0,2.7538e-07,1,1,2.7538e-07,1,-1,2,-0.5,1,-15.1051,-15.1051,2,1
0,1.388e-07,1,1,1.388e-07,1,-1,2,-0.5,1,-15.7902,-15.7902,2,1
0,2.0328e-05,0.99998,1,2.0328e-05,0.99998,-0.99996,2,-0.49998,1,-10.8035,-10.8035,2,1
0,1.4101e-05,0.99999,1,1.4101e-05,0.99999,-0.99997,2,-0.49999,1,-11.1693,-11.1693,2,1
0,7.0652e-05,0.99993,1,7.0652e-05,0.99993,-0.99986,2,-0.49993,1,-9.5577,-9.5577,2,1
0,3.4726e-06,1,1,3.4726e-06,1,-0.99999,2,-0.5,1,-12.5706,-12.5706,2,1
0,4.2265e-06,1,1,4.2265e-06,1,-0.99999,2,-0.5,1,-12.3741,-12.3741,2,1
0,3.1061e-05,0.99997,1,3.1061e-05,0.99997,-0.99994,2,-0.49997,1,-10.3795,-10.3795,2,1
0,1.4969e-05,0.99999,1,1.4969e-05,0.99999,-0.99997,2,-0.49999,1,-11.1095,-11.1095,2,1
0,3.7455e-05,0.99996,1,3.7455e-05,0.99996,-0.99993,2,-0.49996,1,-10.1923,-10.1923,2,1
0,2.8916e-05,0.99997,1,2.8916e-05,0.99997,-0.99994,2,-0.49997,1,-10.4511,-10.4511,2,1
1,0.9987,0.0013022,1,0.9987,0.0013022,0.9974,1,0.4987,1,6.6424,6.6424,2,1
1,0.99924,0.00075599,1,0.99924,0.00075599,0.99849,1,0.49924,1,7.1867,7.1867,2,1
1,0.99961,0.00038674,1,0.99961,0.00038674,0.99923,1,0.49961,1,7.8574,7.8574,2,1
1,0.99898,0.0010175,1,0.99898,0.0010175,0.99797,1,0.49898,1,6.8894,6.8894,2,1
1,0.99952,0.00048071,1,0.99952,0.00048071,0.99904,1,0.49952,1,7.6398,7.6398,2,1
1,5.4759e-05,0.99995,2,0.99995,5.4759e-05,0.99989,2,0.49995,1,-9.8125,9.8125,2,1
1,2.0451e-05,0.99998,2,0.99998,2.0451e-05,0.99996,2,0.49998,1,-10.7975,10.7975,2,1
1,0.00044019,0.99956,2,0.99956,0.00044019,0.99912,2,0.49956,1,-7.7279,7.7279,2,1
1,7.6258e-07,1,2,1,7.6258e-07,1,2,0.5,1,-14.0866,14.0866,2,1
1,4.0593e-05,0.99996,2,0.99996,4.0593e-05,0.99992,2,0.49996,1,-10.1119,10.1119,2,1
1,2.0559e-05,0.99998,2,0.99998,2.0559e-05,0.99996,2,0.49998,1,-10.7922,10.7922,2,1
1,7.8722e-05,0.99992,2,0.99992,7.8722e-05,0.99984,2,0.49992,1,-9.4495,9.4495,2,1
1,0.00016013,0.99984,2,0.99984,0.00016013,0.99968,2,0.49984,1,-8.7393,8.7393,2,1
1,0.00045677,0.99954,2,0.99954,0.00045677,0.99909,2,0.49954,1,-7.6909,7.6909,2,1
1,9.226e-05,0.99991,2,0.99991,9.226e-05,0.99982,2,0.49991,1,-9.2908,9.2908,2,1
1,0.98871,0.011294,1,0.98871,0.011294,0.97741,1,0.48871,1,4.4722,4.4722,2,1
1,0.98289,0.017111,1,0.98289,0.017111,0.96578,1,0.48289,1,4.0508,4.0508,2,1
1,0.97539,0.024611,1,0.97539,0.024611,0.95078,1,0.47539,1,3.6796,3.6796,2,1
1,0.99606,0.0039403,1,0.99606,0.0039403,0.99212,1,0.49606,1,5.5326,5.5326,2,1
1,0.99053,0.0094679,1,0.99053,0.0094679,0.98106,1,0.49053,1,4.6503,4.6503,2,1
1,0.98059,0.019412,1,0.98059,0.019412,0.96118,1,0.48059,1,3.9223,3.9223,2,1
1,0.98181,0.018192,1,0.98181,0.018192,0.96362,1,0.48181,1,3.9884,3.9884,2,1
1,0.95482,0.045184,1,0.95482,0.045184,0.90963,1,0.45482,1,3.0508,3.0508,2,1
1,0.96183,0.038171,1,0.96183,0.038171,0.92366,1,0.46183,1,3.2268,3.2268,2,1
0,0.029222,0.97078,1,0.029222,0.97078,-0.94156,2,-0.47078,1,-3.5032,-3.5032,2,1
0,0.010394,0.98961,1,0.010394,0.98961,-0.97921,2,-0.48961,1,-4.556,-4.556,2,1
0,0.074497,0.9255,1,0.074497,0.9255,-0.85101,2,-0.4255,1,-2.5196,-2.5196,2,1
0,0.020483,0.97952,1,0.020483,0.97952,-0.95903,2,-0.47952,1,-3.8675,-3.8675,2,1
0,0.096534,0.90347,1,0.096534,0.90347,-0.80693,2,-0.40347,1,-2.2363,-2.2363,2,1
0,0.031037,0.96896,1,0.031037,0.96896,-0.93793,2,-0.46896,1,-3.4411,-3.4411,2,1
0,0.16036,0.83964,1,0.16036,0.83964,-0.67927,2,-0.33964,1,-1.6555,-1.6555,2,1
0,0.30178,0.69822,1,0.30178,0.69822,-0.39645,2,-0.19822,1,-0.83885,-0.83885,2,1
0,0.099437,0.90056,1,0.099437,0.90056,-0.80113,2,-0.40056,1,-2.2035,-2.2035,2,1
0,0.12579,0.87421,1,0.12579,0.87421,-0.74842,2,-0.37421,1,-1.9387,-1.9387,2,1
1,0.89933,0.10067,1,0.89933,0.10067,0.79866,1,0.39933,1,2.1898,2.1898,2,1
1,0.84939,0.15061,1,0.84939,0.15061,0.69878,1,0.34939,1,1.7298,1.7298,2,1
1,0.51374,0.48626,1,0.51374,0.48626,0.027478,1,0.013739,1,0.05497,0.05497,2,1
1,0.92518,0.074818,1,0.92518,0.074818,0.85036,1,0.42518,1,2.5149,2.5149,2,1
1,0.86077,0.13923,1,0.86077,0.13923,0.72153,1,0.36077,1,1.8217,1.8217,2,1
1,0.8853,0.1147,1,0.8853,0.1147,0.77059,1,0.3853,1,2.0436,2.0436,2,1
1,0.91876,0.08124,1,0.91876,0.08124,0.83752,1,0.41876,1,2.4256,2.4256,2,1
1,1.7492e-05,0.99998,2,0.99998,1.7492e-05,0.99997,2,0.49998,1,-10.9538,10.9538,2,1
1,2.9407e-05,0.99997,2,0.99997,2.9407e-05,0.99994,2,0.49997,1,-10.4342,10.4342,2,1
1,5.1401e-05,0.99995,2,0.99995,5.1401e-05,0.9999,2,0.49995,1,-9.8758,9.8758,2,1
