name,mean_auc,sem_auc,subNo,auc,xvalIterReported,condNames,which_traintest,roiName,num_results_iter,scramble,trWeights,trWeights_train,trWeights_test,sweep ,sameTrs,trainTr3
conds_exHitVexCr_trTe1_1_2_2_1_1_2_2_trWtr0__0__1__0__0__0_te0__0__0__0__0__1_roirleftMtlMask_tbm112514.mat,0.47429,0.013368,s17,0.51467,2,exHit;exCr,1;1;2;2;1;1;2;2,rleftMtlMask_tbm112514.nii,10,0,,0;0;1;0;0;0,0;0;0;0;0;1,TRUE,FALSE,TRUE
conds_exHitVexCr_trTe1_1_2_2_1_1_2_2_trWtr0__0__1__0__0__0_te0__0__0__0__0__1_roirleftMtlMask_tbm112514.mat,0.47429,0.013368,s18,0.50906,2,exHit;exCr,1;1;2;2;1;1;2;2,rleftMtlMask_tbm112514.nii,10,0,,0;0;1;0;0;0,0;0;0;0;0;1,TRUE,FALSE,TRUE
conds_exHitVexCr_trTe1_1_2_2_1_1_2_2_trWtr0__0__1__0__0__0_te0__0__0__0__0__1_roirleftMtlMask_tbm112514.mat,0.47429,0.013368,s19,0.41051,2,exHit;exCr,1;1;2;2;1;1;2;2,rleftMtlMask_tbm112514.nii,10,0,,0;0;1;0;0;0,0;0;0;0;0;1,TRUE,FALSE,TRUE
conds_exHitVexCr_trTe1_1_2_2_1_1_2_2_trWtr0__0__1__0__0__0_te0__0__0__0__0__1_roirleftMtlMask_tbm112514.mat,0.47429,0.013368,s20,0.6048,2,exHit;exCr,1;1;2;2;1;1;2;2,rleftMtlMask_tbm112514.nii,10,0,,0;0;1;0;0;0,0;0;0;0;0;1,TRUE,FALSE,TRUE
conds_exHitVexCr_trTe1_1_2_2_1_1_2_2_trWtr0__0__1__0__0__0_te0__0__0__0__0__1_roirleftMtlMask_tbm112514.mat,0.47429,0.013368,s21,0.49235,2,exHit;exCr,1;1;2;2;1;1;2;2,rleftMtlMask_tbm112514.nii,10,0,,0;0;1;0;0;0,0;0;0;0;0;1,TRUE,FALSE,TRUE
conds_exHitVexCr_trTe1_1_2_2_1_1_2_2_trWtr0__0__1__0__0__0_te0__0__0__0__0__1_roirleftMtlMask_tbm112514.mat,0.47429,0.013368,s22,0.35259,2,exHit;exCr,1;1;2;2;1;1;2;2,rleftMtlMask_tbm112514.nii,10,0,,0;0;1;0;0;0,0;0;0;0;0;1,TRUE,FALSE,TRUE
conds_exHitVexCr_trTe1_1_2_2_1_1_2_2_trWtr0__0__1__0__0__0_te0__0__0__0__0__1_roirleftMtlMask_tbm112514.mat,0.47429,0.013368,s23,0.55354,2,exHit;exCr,1;1;2;2;1;1;2;2,rleftMtlMask_tbm112514.nii,10,0,,0;0;1;0;0;0,0;0;0;0;0;1,TRUE,FALSE,TRUE
conds_exHitVexCr_trTe1_1_2_2_1_1_2_2_trWtr0__0__1__0__0__0_te0__0__0__0__0__1_roirleftMtlMask_tbm112514.mat,0.47429,0.013368,s24,0.46862,2,exHit;exCr,1;1;2;2;1;1;2;2,rleftMtlMask_tbm112514.nii,10,0,,0;0;1;0;0;0,0;0;0;0;0;1,TRUE,FALSE,TRUE
conds_exHitVexCr_trTe1_1_2_2_1_1_2_2_trWtr0__0__1__0__0__0_te0__0__0__0__0__1_roirleftMtlMask_tbm112514.mat,0.47429,0.013368,s25,0.56183,2,exHit;exCr,1;1;2;2;1;1;2;2,rleftMtlMask_tbm112514.nii,10,0,,0;0;1;0;0;0,0;0;0;0;0;1,TRUE,FALSE,TRUE
conds_exHitVexCr_trTe1_1_2_2_1_1_2_2_trWtr0__0__1__0__0__0_te0__0__0__0__0__1_roirleftMtlMask_tbm112514.mat,0.47429,0.013368,s26,0.55105,2,exHit;exCr,1;1;2;2;1;1;2;2,rleftMtlMask_tbm112514.nii,10,0,,0;0;1;0;0;0,0;0;0;0;0;1,TRUE,FALSE,TRUE
