correctsVec,actsVec,actsVec2,desiredsVec,actsOfTrueClass,actsOfFalseClass,actsDifference,guessesVec,signedActs,xval_iter,signedEv,unsignedEv,runsVec,subs
1,0.55019,0.44981,1,0.55019,0.44981,0.10038,1,0.05019,1,0.20144,0.20144,1,1
1,0.65705,0.34295,1,0.65705,0.34295,0.31409,1,0.15705,1,0.65015,0.65015,1,1
1,0.73779,0.26221,1,0.73779,0.26221,0.47559,1,0.23779,1,1.0345,1.0345,1,1
1,0.6985,0.3015,1,0.6985,0.3015,0.39699,1,0.1985,1,0.84014,0.84014,1,1
1,0.57567,0.42433,1,0.57567,0.42433,0.15134,1,0.075672,1,0.30503,0.30503,1,1
1,0.70414,0.29586,1,0.70414,0.29586,0.40827,1,0.20414,1,0.86707,0.86707,1,1
1,0.69229,0.30771,1,0.69229,0.30771,0.38457,1,0.19229,1,0.81083,0.81083,1,1
1,0.44262,0.55738,2,0.55738,0.44262,0.11476,2,0.057381,1,-0.23054,0.23054,1,1
1,0.49415,0.50585,2,0.50585,0.49415,0.01169,2,0.0058451,1,-0.023381,0.023381,1,1
0,0.5092,0.4908,2,0.4908,0.5092,-0.018393,1,-0.0091967,1,0.036791,-0.036791,1,1
0,0.59936,0.40064,2,0.40064,0.59936,-0.19872,1,-0.09936,1,0.4028,-0.4028,1,1
0,0.67348,0.32652,2,0.32652,0.67348,-0.34696,1,-0.17348,1,0.72396,-0.72396,1,1
0,0.56466,0.43534,2,0.43534,0.56466,-0.12933,1,-0.064663,1,0.26011,-0.26011,1,1
0,0.51118,0.48882,2,0.48882,0.51118,-0.022365,1,-0.011183,1,0.044738,-0.044738,1,1
0,0.61846,0.38154,2,0.38154,0.61846,-0.23692,1,-0.11846,1,0.48301,-0.48301,1,1
0,0.57825,0.42175,2,0.42175,0.57825,-0.15649,1,-0.078247,1,0.31558,-0.31558,1,1
0,0.61354,0.38646,2,0.38646,0.61354,-0.22708,1,-0.11354,1,0.46222,-0.46222,1,1
1,0.4494,0.5506,2,0.5506,0.4494,0.1012,2,0.050602,1,-0.2031,0.2031,1,1
1,0.4663,0.5337,2,0.5337,0.4663,0.067401,2,0.033701,1,-0.13501,0.13501,1,1
0,0.58226,0.41774,2,0.41774,0.58226,-0.16453,1,-0.082263,1,0.33207,-0.33207,1,1
0,0.61007,0.38993,2,0.38993,0.61007,-0.22014,1,-0.11007,1,0.4476,-0.4476,1,1
0,0.66275,0.33725,2,0.33725,0.66275,-0.3255,1,-0.16275,1,0.67557,-0.67557,1,1
0,0.54056,0.45944,2,0.45944,0.54056,-0.081129,1,-0.040565,1,0.16262,-0.16262,1,1
0,0.54359,0.45641,2,0.45641,0.54359,-0.087172,1,-0.043586,1,0.17479,-0.17479,1,1
0,0.64945,0.35055,2,0.35055,0.64945,-0.2989,1,-0.14945,1,0.61661,-0.61661,1,1
0,0.59377,0.40623,2,0.40623,0.59377,-0.18754,1,-0.093768,1,0.37956,-0.37956,1,1
0,0.69309,0.30691,2,0.30691,0.69309,-0.38618,1,-0.19309,1,0.81461,-0.81461,1,1
0,0.38348,0.61652,1,0.38348,0.61652,-0.23304,2,-0.11652,1,-0.4748,-0.4748,1,1
0,0.40304,0.59696,1,0.40304,0.59696,-0.19392,2,-0.096961,1,-0.39282,-0.39282,1,1
1,0.63939,0.36061,1,0.63939,0.36061,0.27878,1,0.13939,1,0.57272,0.57272,1,1
1,0.67898,0.32102,1,0.67898,0.32102,0.35796,1,0.17898,1,0.74908,0.74908,1,1
1,0.67468,0.32532,1,0.67468,0.32532,0.34935,1,0.17468,1,0.72942,0.72942,1,1
1,0.57114,0.42886,1,0.57114,0.42886,0.14227,1,0.071136,1,0.28649,0.28649,1,1
1,0.53229,0.46771,1,0.53229,0.46771,0.064583,1,0.032292,1,0.12935,0.12935,1,1
1,0.68047,0.31953,1,0.68047,0.31953,0.36094,1,0.18047,1,0.75594,0.75594,1,1
1,0.57727,0.42273,1,0.57727,0.42273,0.15454,1,0.077271,1,0.31158,0.31158,1,1
1,0.46925,0.53075,2,0.53075,0.46925,0.061491,2,0.030745,1,-0.12314,0.12314,1,1
1,0.47983,0.52017,2,0.52017,0.47983,0.040341,2,0.02017,1,-0.080725,0.080725,1,1
0,0.64092,0.35908,2,0.35908,0.64092,-0.28184,1,-0.14092,1,0.57935,-0.57935,1,1
0,0.67846,0.32154,2,0.32154,0.67846,-0.35692,1,-0.17846,1,0.7467,-0.7467,1,1
0,0.6836,0.3164,2,0.3164,0.6836,-0.36721,1,-0.1836,1,0.77038,-0.77038,1,1
0,0.59774,0.40226,2,0.40226,0.59774,-0.19548,1,-0.097741,1,0.39606,-0.39606,1,1
0,0.58171,0.41829,2,0.41829,0.58171,-0.16341,1,-0.081707,1,0.32979,-0.32979,1,1
0,0.685,0.315,2,0.315,0.685,-0.37,1,-0.185,1,0.77684,-0.77684,1,1
0,0.62683,0.37317,2,0.37317,0.62683,-0.25367,1,-0.12683,1,0.51866,-0.51866,1,1
0,0.72169,0.27831,2,0.27831,0.72169,-0.44338,1,-0.22169,1,0.95287,-0.95287,1,1
1,0.39839,0.60161,2,0.60161,0.39839,0.20322,2,0.10161,1,-0.41218,0.41218,1,1
1,0.42197,0.57803,2,0.57803,0.42197,0.15606,2,0.078028,1,-0.31468,0.31468,1,1
0,0.60361,0.39639,2,0.39639,0.60361,-0.20722,1,-0.10361,1,0.42054,-0.42054,1,1
0,0.65335,0.34665,2,0.34665,0.65335,-0.3067,1,-0.15335,1,0.63379,-0.63379,1,1
0,0.67001,0.32999,2,0.32999,0.67001,-0.34003,1,-0.17001,1,0.70824,-0.70824,1,1
0,0.54291,0.45709,2,0.45709,0.54291,-0.085825,1,-0.042912,1,0.17207,-0.17207,1,1
0,0.52425,0.47575,2,0.47575,0.52425,-0.048504,1,-0.024252,1,0.097084,-0.097084,1,1
0,0.6572,0.3428,2,0.3428,0.6572,-0.31441,1,-0.1572,1,0.65086,-0.65086,1,1
0,0.5797,0.4203,2,0.4203,0.5797,-0.15939,1,-0.079697,1,0.32153,-0.32153,1,1
0,0.69765,0.30235,2,0.30235,0.69765,-0.3953,1,-0.19765,1,0.83613,-0.83613,1,1
1,0.39865,0.60135,2,0.60135,0.39865,0.20269,2,0.10135,1,-0.41108,0.41108,1,1
1,0.42783,0.57217,2,0.57217,0.42783,0.14434,2,0.072171,1,-0.29072,0.29072,1,1
1,0.47472,0.52528,2,0.52528,0.47472,0.050552,2,0.025276,1,-0.10119,0.10119,1,1
0,0.58684,0.41316,2,0.41316,0.58684,-0.17369,1,-0.086845,1,0.35094,-0.35094,1,1
0,0.6201,0.3799,2,0.3799,0.6201,-0.2402,1,-0.1201,1,0.48997,-0.48997,1,1
0,0.5256,0.4744,2,0.4744,0.5256,-0.051201,1,-0.0256,1,0.10249,-0.10249,1,1
1,0.4399,0.5601,2,0.5601,0.4399,0.1202,2,0.060102,1,-0.24158,0.24158,1,1
0,0.5952,0.4048,2,0.4048,0.5952,-0.19041,1,-0.095205,1,0.38552,-0.38552,1,1
0,0.56555,0.43445,2,0.43445,0.56555,-0.1311,1,-0.065548,1,0.26371,-0.26371,1,1
0,0.61556,0.38444,2,0.38444,0.61556,-0.23113,1,-0.11556,1,0.47076,-0.47076,1,1
1,0.61388,0.38612,1,0.61388,0.38612,0.22776,1,0.11388,1,0.46364,0.46364,1,1
1,0.65951,0.34049,1,0.65951,0.34049,0.31903,1,0.15951,1,0.66113,0.66113,1,1
1,0.7128,0.2872,1,0.7128,0.2872,0.4256,1,0.2128,1,0.90903,0.90903,1,1
1,0.77775,0.22225,1,0.77775,0.22225,0.55551,1,0.27775,1,1.2526,1.2526,1,1
1,0.67236,0.32764,1,0.67236,0.32764,0.34472,1,0.17236,1,0.71889,0.71889,1,1
1,0.75054,0.24946,1,0.75054,0.24946,0.50108,1,0.25054,1,1.1015,1.1015,1,1
1,0.7761,0.2239,1,0.7761,0.2239,0.5522,1,0.2761,1,1.2431,1.2431,1,1
1,0.51646,0.48354,1,0.51646,0.48354,0.032914,1,0.016457,1,0.065851,0.065851,1,1
1,0.53599,0.46401,1,0.53599,0.46401,0.071989,1,0.035995,1,0.14423,0.14423,1,1
1,0.6209,0.3791,1,0.6209,0.3791,0.2418,1,0.1209,1,0.49338,0.49338,1,1
1,0.75416,0.24584,1,0.75416,0.24584,0.50832,1,0.25416,1,1.1209,1.1209,1,1
1,0.65655,0.34345,1,0.65655,0.34345,0.3131,1,0.15655,1,0.64796,0.64796,1,1
1,0.56684,0.43316,1,0.56684,0.43316,0.13368,1,0.066842,1,0.26898,0.26898,1,1
1,0.70374,0.29626,1,0.70374,0.29626,0.40747,1,0.20374,1,0.86516,0.86516,1,1
1,0.67825,0.32175,1,0.67825,0.32175,0.3565,1,0.17825,1,0.74575,0.74575,1,1
1,0.4696,0.5304,2,0.5304,0.4696,0.06081,2,0.030405,1,-0.12177,0.12177,1,1
0,0.52806,0.47194,2,0.47194,0.52806,-0.056123,1,-0.028062,1,0.11236,-0.11236,1,1
0,0.50884,0.49116,2,0.49116,0.50884,-0.017689,1,-0.0088444,1,0.035381,-0.035381,1,1
0,0.58335,0.41665,2,0.41665,0.58335,-0.16671,1,-0.083354,1,0.33656,-0.33656,1,1
0,0.68112,0.31888,2,0.31888,0.68112,-0.36224,1,-0.18112,1,0.75893,-0.75893,1,1
0,0.60686,0.39314,2,0.39314,0.60686,-0.21372,1,-0.10686,1,0.43414,-0.43414,1,1
0,0.51009,0.48991,2,0.48991,0.51009,-0.020189,1,-0.010095,1,0.040384,-0.040384,1,1
0,0.64226,0.35774,2,0.35774,0.64226,-0.28452,1,-0.14226,1,0.58519,-0.58519,1,1
0,0.64215,0.35785,2,0.35785,0.64215,-0.2843,1,-0.14215,1,0.58471,-0.58471,1,1
0,0.60027,0.39973,2,0.39973,0.60027,-0.20055,1,-0.10027,1,0.40661,-0.40661,1,1
1,0.51225,0.48775,1,0.51225,0.48775,0.0245,1,0.01225,1,0.049011,0.049011,1,1
1,0.58701,0.41299,1,0.58701,0.41299,0.17402,1,0.087008,1,0.35161,0.35161,1,1
1,0.65172,0.34828,1,0.65172,0.34828,0.30345,1,0.15172,1,0.62662,0.62662,1,1
1,0.71979,0.28021,1,0.71979,0.28021,0.43957,1,0.21979,1,0.9434,0.9434,1,1
1,0.65789,0.34211,1,0.65789,0.34211,0.31577,1,0.15789,1,0.65389,0.65389,1,1
1,0.54463,0.45537,1,0.54463,0.45537,0.089266,1,0.044633,1,0.17901,0.17901,1,1
1,0.6967,0.3033,1,0.6967,0.3033,0.39339,1,0.1967,1,0.83161,0.83161,1,1
1,0.70677,0.29323,1,0.70677,0.29323,0.41353,1,0.20677,1,0.87973,0.87973,1,1
0,0.42616,0.57384,1,0.42616,0.57384,-0.14769,2,-0.073843,1,-0.29755,-0.29755,1,1
0,0.48944,0.51056,1,0.48944,0.51056,-0.021112,2,-0.010556,1,-0.04223,-0.04223,1,1
0,0.48241,0.51759,1,0.48241,0.51759,-0.035181,2,-0.01759,1,-0.07039,-0.07039,1,1
1,0.55716,0.44284,1,0.55716,0.44284,0.11433,1,0.057164,1,0.22966,0.22966,1,1
1,0.5593,0.4407,1,0.5593,0.4407,0.11861,1,0.059305,1,0.23834,0.23834,1,1
0,0.48459,0.51541,1,0.48459,0.51541,-0.030817,2,-0.015409,1,-0.061654,-0.061654,1,1
1,0.58552,0.41448,1,0.58552,0.41448,0.17104,1,0.085519,1,0.34547,0.34547,1,1
1,0.57585,0.42415,1,0.57585,0.42415,0.1517,1,0.075851,1,0.30577,0.30577,1,1
1,0.5246,0.4754,1,0.5246,0.4754,0.049201,1,0.024601,1,0.098483,0.098483,1,1
1,0.5617,0.4383,1,0.5617,0.4383,0.12339,1,0.061696,1,0.24805,0.24805,1,1
1,0.67901,0.32099,1,0.67901,0.32099,0.35803,1,0.17901,1,0.74924,0.74924,1,1
1,0.44269,0.55731,2,0.55731,0.44269,0.11462,2,0.057312,1,-0.23026,0.23026,1,1
1,0.48007,0.51993,2,0.51993,0.48007,0.039862,2,0.019931,1,-0.079767,0.079767,1,1
0,0.60337,0.39663,2,0.39663,0.60337,-0.20674,1,-0.10337,1,0.41953,-0.41953,1,1
0,0.6358,0.3642,2,0.3642,0.6358,-0.2716,1,-0.1358,1,0.55719,-0.55719,1,1
