correctsVec,actsVec,actsVec2,desiredsVec,actsOfTrueClass,actsOfFalseClass,actsDifference,guessesVec,signedActs,xval_iter,signedEv,unsignedEv,subs
0,0.45522,0.54478,1,0.45522,0.54478,-0.089552,2,-0.044776,1,-0.17958,-0.17958,1
0,0.27461,0.72539,1,0.27461,0.72539,-0.45078,2,-0.22539,1,-0.97136,-0.97136,1
0,0.37637,0.62363,1,0.37637,0.62363,-0.24726,2,-0.12363,1,-0.50499,-0.50499,1
0,0.33556,0.66444,1,0.33556,0.66444,-0.32887,2,-0.16444,1,-0.68313,-0.68313,1
0,0.24532,0.75468,1,0.24532,0.75468,-0.50936,2,-0.25468,1,-1.1237,-1.1237,1
0,0.33127,0.66873,1,0.33127,0.66873,-0.33745,2,-0.16873,1,-0.70243,-0.70243,1
0,0.33139,0.66861,1,0.33139,0.66861,-0.33721,2,-0.16861,1,-0.70189,-0.70189,1
0,0.20413,0.79587,1,0.20413,0.79587,-0.59173,2,-0.29587,1,-1.3606,-1.3606,1
0,0.32111,0.67889,1,0.32111,0.67889,-0.35778,2,-0.17889,1,-0.74868,-0.74868,1
1,0.54859,0.45141,1,0.54859,0.45141,0.097181,1,0.04859,1,0.19498,0.19498,1
0,0.28659,0.71341,1,0.28659,0.71341,-0.42683,2,-0.21341,1,-0.91202,-0.91202,1
0,0.23209,0.76791,1,0.23209,0.76791,-0.53582,2,-0.26791,1,-1.1966,-1.1966,1
0,0.26632,0.73368,1,0.26632,0.73368,-0.46736,2,-0.23368,1,-1.0134,-1.0134,1
0,0.48952,0.51048,1,0.48952,0.51048,-0.020966,2,-0.010483,1,-0.041938,-0.041938,1
0,0.4089,0.5911,1,0.4089,0.5911,-0.18221,2,-0.091105,1,-0.36853,-0.36853,1
0,0.34296,0.65704,1,0.34296,0.65704,-0.31407,2,-0.15704,1,-0.65012,-0.65012,1
0,0.35912,0.64088,1,0.35912,0.64088,-0.28177,2,-0.14088,1,-0.5792,-0.5792,1
0,0.34239,0.65761,1,0.34239,0.65761,-0.31522,2,-0.15761,1,-0.65266,-0.65266,1
0,0.34155,0.65845,1,0.34155,0.65845,-0.31689,2,-0.15845,1,-0.65637,-0.65637,1
0,0.49081,0.50919,1,0.49081,0.50919,-0.018387,2,-0.0091936,1,-0.036779,-0.036779,1
0,0.33739,0.66261,1,0.33739,0.66261,-0.32523,2,-0.16261,1,-0.67496,-0.67496,1
0,0.12313,0.87687,1,0.12313,0.87687,-0.75374,2,-0.37687,1,-1.9631,-1.9631,1
0,0.1584,0.8416,1,0.1584,0.8416,-0.68319,2,-0.3416,1,-1.6702,-1.6702,1
0,0.15893,0.84107,1,0.15893,0.84107,-0.68214,2,-0.34107,1,-1.6662,-1.6662,1
