Contrast,shape,cluster,sphere,roi,task,acc,beta
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,cm,hit,0.318588112
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,cm,cr,1.88947741
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,cm,cr,1.459940881
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,cm,cr,0.981092731
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,cm,cr,0.575106446
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,cm,cr,0.834562218
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,cm,cr,-0.008292675
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,cm,cr,-0.657023433
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,cm,cr,0.522063136
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,cm,cr,0.388371446
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,cm,cr,0.957313581
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,cm,cr,0.718249416
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,cm,cr,0.998360636
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,cm,cr,1.013724473
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,cm,cr,-0.118840083
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,cm,cr,0.935771911
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,cm,cr,0.17667807
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,cm,cr,0.56756119
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,cm,cr,2.105705748
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,cm,cr,0.466708383
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,cm,cr,0.922691231
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,cm,cr,0.575711954
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,cm,cr,-0.096296927
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,cm,cr,-0.103955843
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,cm,cr,0.535666204
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,ex,hit,1.371598969
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,ex,hit,-0.124275489
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,ex,hit,0.466606908
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,ex,hit,0.256287419
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,ex,hit,0.134541959
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,ex,hit,-0.550809983
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,ex,hit,0.483916113
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,ex,hit,0.387362168
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,ex,hit,0.745674659
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,ex,hit,0.752008305
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,ex,hit,0.265926764
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,ex,hit,1.071367449
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,ex,hit,-0.157595645
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,ex,hit,0.661920005
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,ex,hit,0.654642436
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,ex,hit,-0.046813344
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,ex,hit,0.673013384
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,ex,hit,1.605198769
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,ex,hit,-0.325101716
