name,mean_auc,sem_auc,subNo,auc,xvalIterReported,runsReported,condNames,which_traintest,roiName,num_results_iter,scramble,trWeights,trWeights_train,trWeights_test,sameTrs
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__0__0__1_te0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50059,0.0039912,s17,0.49349,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;0;0;1,0;0;0;0;0;1,TRUE
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__0__0__1_te0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50059,0.0039912,s18,0.53807,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;0;0;1,0;0;0;0;0;1,TRUE
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__0__0__1_te0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50059,0.0039912,s19,0.49932,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;0;0;1,0;0;0;0;0;1,TRUE
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__0__0__1_te0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50059,0.0039912,s20,0.52931,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;0;0;1,0;0;0;0;0;1,TRUE
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__0__0__1_te0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50059,0.0039912,s21,0.48277,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;0;0;1,0;0;0;0;0;1,TRUE
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__0__0__1_te0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50059,0.0039912,s22,0.4779,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;0;0;1,0;0;0;0;0;1,TRUE
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__0__0__1_te0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50059,0.0039912,s23,0.49046,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;0;0;1,0;0;0;0;0;1,TRUE
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__0__0__1_te0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50059,0.0039912,s24,0.48219,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;0;0;1,0;0;0;0;0;1,TRUE
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__0__0__1_te0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50059,0.0039912,s25,0.53885,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;0;0;1,0;0;0;0;0;1,TRUE
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__0__0__1_te0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50059,0.0039912,s26,0.4845,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;0;0;1,0;0;0;0;0;1,TRUE
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__0__1__0_te0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49906,0.0037659,s01,0.50637,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;0;1;0,0;0;0;0;1;0,TRUE
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__0__1__0_te0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49906,0.0037659,s03,0.51427,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;0;1;0,0;0;0;0;1;0,TRUE
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__0__1__0_te0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49906,0.0037659,s04,0.52091,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;0;1;0,0;0;0;0;1;0,TRUE
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__0__1__0_te0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49906,0.0037659,s05,0.49561,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;0;1;0,0;0;0;0;1;0,TRUE
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__0__1__0_te0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49906,0.0037659,s06,0.46988,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;0;1;0,0;0;0;0;1;0,TRUE
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__0__1__0_te0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49906,0.0037659,s07,0.4857,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;0;1;0,0;0;0;0;1;0,TRUE
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__0__1__0_te0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49906,0.0037659,s08,0.5122,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;0;1;0,0;0;0;0;1;0,TRUE
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__0__1__0_te0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49906,0.0037659,s09,0.47238,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;0;1;0,0;0;0;0;1;0,TRUE
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__0__1__0_te0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49906,0.0037659,s10,0.48229,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;0;1;0,0;0;0;0;1;0,TRUE
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__0__1__0_te0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49906,0.0037659,s12,0.51156,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;0;1;0,0;0;0;0;1;0,TRUE
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__0__1__0_te0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49906,0.0037659,s13,0.47369,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;0;1;0,0;0;0;0;1;0,TRUE
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__0__1__0_te0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49906,0.0037659,s14,0.49267,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;0;1;0,0;0;0;0;1;0,TRUE
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__0__1__0_te0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49906,0.0037659,s15,0.49065,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;0;1;0,0;0;0;0;1;0,TRUE
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__0__1__0_te0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49906,0.0037659,s16,0.49626,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;0;1;0,0;0;0;0;1;0,TRUE
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__0__1__0_te0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49906,0.0037659,s17,0.50579,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;0;1;0,0;0;0;0;1;0,TRUE
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__0__1__0_te0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49906,0.0037659,s18,0.4925,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;0;1;0,0;0;0;0;1;0,TRUE
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__0__1__0_te0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49906,0.0037659,s19,0.51923,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;0;1;0,0;0;0;0;1;0,TRUE
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__0__1__0_te0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49906,0.0037659,s20,0.54842,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;0;1;0,0;0;0;0;1;0,TRUE
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__0__1__0_te0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49906,0.0037659,s21,0.49486,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;0;1;0,0;0;0;0;1;0,TRUE
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__0__1__0_te0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49906,0.0037659,s22,0.48528,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;0;1;0,0;0;0;0;1;0,TRUE
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__0__1__0_te0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49906,0.0037659,s23,0.52256,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;0;1;0,0;0;0;0;1;0,TRUE
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__0__1__0_te0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49906,0.0037659,s24,0.49969,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;0;1;0,0;0;0;0;1;0,TRUE
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__0__1__0_te0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49906,0.0037659,s25,0.50116,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;0;1;0,0;0;0;0;1;0,TRUE
