correctsVec,actsVec,actsVec2,desiredsVec,actsOfTrueClass,actsOfFalseClass,actsDifference,guessesVec,signedActs,xval_iter,signedEv,unsignedEv,subs
1,0.89008,0.10992,1,0.89008,0.10992,0.78015,1,0.39008,1,2.0915,2.0915,1
1,0.81379,0.18621,1,0.81379,0.18621,0.62757,1,0.31379,1,1.4748,1.4748,1
1,0.80764,0.19236,1,0.80764,0.19236,0.61529,1,0.30764,1,1.4348,1.4348,1
1,0.92438,0.075619,1,0.92438,0.075619,0.84876,1,0.42438,1,2.5034,2.5034,1
1,0.96042,0.039582,1,0.96042,0.039582,0.92084,1,0.46042,1,3.189,3.189,1
1,0.75703,0.24297,1,0.75703,0.24297,0.51406,1,0.25703,1,1.1365,1.1365,1
0,0.24874,0.75126,1,0.24874,0.75126,-0.50252,2,-0.25126,1,-1.1053,-1.1053,1
0,0.29989,0.70011,1,0.29989,0.70011,-0.40022,2,-0.20011,1,-0.84782,-0.84782,1
1,0.62694,0.37306,1,0.62694,0.37306,0.25387,1,0.12694,1,0.5191,0.5191,1
0,0.42321,0.57679,1,0.42321,0.57679,-0.15357,2,-0.076785,1,-0.30959,-0.30959,1
0,0.45536,0.54464,1,0.45536,0.54464,-0.08928,2,-0.04464,1,-0.17904,-0.17904,1
0,0.17958,0.82042,1,0.17958,0.82042,-0.64083,2,-0.32042,1,-1.5192,-1.5192,1
0,0.42654,0.57346,1,0.42654,0.57346,-0.14693,2,-0.073464,1,-0.296,-0.296,1
0,0.23541,0.76459,1,0.23541,0.76459,-0.52919,2,-0.26459,1,-1.178,-1.178,1
0,0.28884,0.71116,1,0.28884,0.71116,-0.42231,2,-0.21116,1,-0.90101,-0.90101,1
1,0.097063,0.90294,2,0.90294,0.097063,0.80587,2,0.40294,1,-2.2303,2.2303,1
1,0.11464,0.88536,2,0.88536,0.11464,0.77073,2,0.38536,1,-2.0442,2.0442,1
1,0.044989,0.95501,2,0.95501,0.044989,0.91002,2,0.45501,1,-3.0553,3.0553,1
1,0.081131,0.91887,2,0.91887,0.081131,0.83774,2,0.41887,1,-2.4271,2.4271,1
1,0.10901,0.89099,2,0.89099,0.10901,0.78198,2,0.39099,1,-2.1009,2.1009,1
1,0.1293,0.8707,2,0.8707,0.1293,0.7414,2,0.3707,1,-1.9072,1.9072,1
1,0.15134,0.84866,2,0.84866,0.15134,0.69732,2,0.34866,1,-1.7241,1.7241,1
1,0.12705,0.87295,2,0.87295,0.12705,0.7459,2,0.37295,1,-1.9273,1.9273,1
1,0.062898,0.9371,2,0.9371,0.062898,0.8742,2,0.4371,1,-2.7013,2.7013,1
1,0.12858,0.87142,2,0.87142,0.12858,0.74283,2,0.37142,1,-1.9135,1.9135,1
0,0.57902,0.42098,2,0.42098,0.57902,-0.15805,1,-0.079024,1,0.31877,-0.31877,1
0,0.65576,0.34424,2,0.34424,0.65576,-0.31151,1,-0.15576,1,0.64444,-0.64444,1
0,0.56042,0.43958,2,0.43958,0.56042,-0.12085,1,-0.060424,1,0.24288,-0.24288,1
0,0.5249,0.4751,2,0.4751,0.5249,-0.049795,1,-0.024897,1,0.099672,-0.099672,1
0,0.65487,0.34513,2,0.34513,0.65487,-0.30974,1,-0.15487,1,0.64052,-0.64052,1
0,0.68777,0.31223,2,0.31223,0.68777,-0.37555,1,-0.18777,1,0.78973,-0.78973,1
0,0.5837,0.4163,2,0.4163,0.5837,-0.1674,1,-0.083699,1,0.33798,-0.33798,1
0,0.65047,0.34953,2,0.34953,0.65047,-0.30093,1,-0.15047,1,0.62109,-0.62109,1
0,0.50714,0.49286,2,0.49286,0.50714,-0.014284,1,-0.0071421,1,0.02857,-0.02857,1
0,0.51901,0.48099,2,0.48099,0.51901,-0.038012,1,-0.019006,1,0.07606,-0.07606,1
1,0.95673,0.043268,1,0.95673,0.043268,0.91346,1,0.45673,1,3.0961,3.0961,1
1,0.95378,0.046218,1,0.95378,0.046218,0.90756,1,0.45378,1,3.0271,3.0271,1
1,0.91484,0.085159,1,0.91484,0.085159,0.82968,1,0.41484,1,2.3742,2.3742,1
1,0.9557,0.044303,1,0.9557,0.044303,0.91139,1,0.4557,1,3.0714,3.0714,1
1,0.96719,0.032813,1,0.96719,0.032813,0.93437,1,0.46719,1,3.3836,3.3836,1
1,0.95507,0.044931,1,0.95507,0.044931,0.91014,1,0.45507,1,3.0567,3.0567,1
1,0.94571,0.054295,1,0.94571,0.054295,0.89141,1,0.44571,1,2.8575,2.8575,1
1,0.95384,0.046156,1,0.95384,0.046156,0.90769,1,0.45384,1,3.0285,3.0285,1
1,0.97601,0.023991,1,0.97601,0.023991,0.95202,1,0.47601,1,3.7058,3.7058,1
0,0.5684,0.4316,2,0.4316,0.5684,-0.1368,1,-0.068402,1,0.27533,-0.27533,1
1,0.49779,0.50221,2,0.50221,0.49779,0.0044173,2,0.0022086,1,-0.0088345,0.0088347,1
0,0.94002,0.059984,2,0.059984,0.94002,-0.88003,1,-0.44002,1,2.7518,-2.7518,1
0,0.75751,0.24249,2,0.24249,0.75751,-0.51502,1,-0.25751,1,1.1391,-1.1391,1
1,0.24787,0.75213,2,0.75213,0.24787,0.50426,2,0.25213,1,-1.11,1.11,1
1,0.4311,0.5689,2,0.5689,0.4311,0.13779,2,0.068895,1,-0.27734,0.27734,1
0,0.51276,0.48724,2,0.48724,0.51276,-0.025527,1,-0.012764,1,0.051066,-0.051066,1
1,0.44443,0.55557,2,0.55557,0.44443,0.11113,2,0.055566,1,-0.22319,0.22319,1
0,0.67429,0.32571,2,0.32571,0.67429,-0.34859,1,-0.17429,1,0.72767,-0.72767,1
1,0.45196,0.54804,2,0.54804,0.45196,0.096079,2,0.04804,1,-0.19275,0.19275,1
0,0.70715,0.29285,2,0.29285,0.70715,-0.41431,1,-0.20715,1,0.8816,-0.8816,1
0,0.741,0.259,2,0.259,0.741,-0.48199,1,-0.241,1,1.0512,-1.0512,1
0,0.72855,0.27145,2,0.27145,0.72855,-0.4571,1,-0.22855,1,0.98729,-0.98729,1
0,0.86423,0.13577,2,0.13577,0.86423,-0.72846,1,-0.36423,1,1.8509,-1.8509,1
0,0.76644,0.23356,2,0.23356,0.76644,-0.53287,1,-0.26644,1,1.1883,-1.1883,1
0,0.85286,0.14714,2,0.14714,0.85286,-0.70571,1,-0.35286,1,1.7572,-1.7572,1
0,0.74956,0.25044,2,0.25044,0.74956,-0.49912,1,-0.24956,1,1.0963,-1.0963,1
0,0.88892,0.11108,2,0.11108,0.88892,-0.77783,1,-0.38892,1,2.0797,-2.0797,1
0,0.78738,0.21262,2,0.21262,0.78738,-0.57477,1,-0.28738,1,1.3092,-1.3092,1
0,0.74039,0.25961,2,0.25961,0.74039,-0.48079,1,-0.24039,1,1.048,-1.048,1
1,0.13752,0.86248,2,0.86248,0.13752,0.72495,2,0.36248,1,-1.836,1.836,1
1,0.2675,0.7325,2,0.7325,0.2675,0.465,2,0.2325,1,-1.0074,1.0074,1
1,0.28293,0.71707,2,0.71707,0.28293,0.43414,2,0.21707,1,-0.92997,0.92997,1
1,0.31364,0.68636,2,0.68636,0.31364,0.37272,2,0.18636,1,-0.78315,0.78315,1
1,0.18245,0.81755,2,0.81755,0.18245,0.63509,2,0.31755,1,-1.4998,1.4998,1
1,0.38636,0.61364,2,0.61364,0.38636,0.22729,2,0.11364,1,-0.46265,0.46265,1
1,0.21498,0.78502,2,0.78502,0.21498,0.57003,2,0.28502,1,-1.2951,1.2951,1
1,0.14479,0.85521,2,0.85521,0.14479,0.71041,2,0.35521,1,-1.776,1.776,1
1,0.21113,0.78887,2,0.78887,0.21113,0.57774,2,0.28887,1,-1.3181,1.3181,1
1,0.10051,0.89949,2,0.89949,0.10051,0.79897,2,0.39949,1,-2.1915,2.1915,1
1,0.99893,0.0010714,1,0.99893,0.0010714,0.99786,1,0.49893,1,6.8377,6.8377,1
1,0.99643,0.0035669,1,0.99643,0.0035669,0.99287,1,0.49643,1,5.6325,5.6325,1
1,0.99614,0.0038588,1,0.99614,0.0038588,0.99228,1,0.49614,1,5.5535,5.5535,1
1,0.99489,0.0051113,1,0.99489,0.0051113,0.98978,1,0.49489,1,5.2712,5.2712,1
1,0.99975,0.00024716,1,0.99975,0.00024716,0.99951,1,0.49975,1,8.3051,8.3051,1
1,0.9969,0.003101,1,0.9969,0.003101,0.9938,1,0.4969,1,5.7729,5.7729,1
1,0.99616,0.0038428,1,0.99616,0.0038428,0.99231,1,0.49616,1,5.5577,5.5577,1
1,0.99935,0.0006519,1,0.99935,0.0006519,0.9987,1,0.49935,1,7.335,7.335,1
1,0.99726,0.0027404,1,0.99726,0.0027404,0.99452,1,0.49726,1,5.8969,5.8969,1
1,0.99914,0.0008636,1,0.99914,0.0008636,0.99827,1,0.49914,1,7.0535,7.0535,1
1,0.72371,0.27629,1,0.72371,0.27629,0.44741,1,0.22371,1,0.96292,0.96292,1
1,0.8447,0.1553,1,0.8447,0.1553,0.6894,1,0.3447,1,1.6936,1.6936,1
1,0.6654,0.3346,1,0.6654,0.3346,0.3308,1,0.1654,1,0.68746,0.68746,1
1,0.60063,0.39937,1,0.60063,0.39937,0.20127,1,0.10063,1,0.4081,0.4081,1
1,0.77257,0.22743,1,0.77257,0.22743,0.54515,1,0.27257,1,1.2229,1.2229,1
1,0.74195,0.25805,1,0.74195,0.25805,0.4839,1,0.24195,1,1.0561,1.0561,1
1,0.71488,0.28512,1,0.71488,0.28512,0.42977,1,0.21488,1,0.91922,0.91922,1
1,0.57473,0.42527,1,0.57473,0.42527,0.14946,1,0.07473,1,0.30117,0.30117,1
0,0.4873,0.5127,1,0.4873,0.5127,-0.025401,2,-0.0127,1,-0.050812,-0.050812,1
1,0.17038,0.82962,2,0.82962,0.17038,0.65924,2,0.32962,1,-1.5829,1.5829,1
1,0.14698,0.85302,2,0.85302,0.14698,0.70604,2,0.35302,1,-1.7585,1.7585,1
1,0.13327,0.86673,2,0.86673,0.13327,0.73345,2,0.36673,1,-1.8723,1.8723,1
1,0.16769,0.83231,2,0.83231,0.16769,0.66463,2,0.33231,1,-1.6021,1.6021,1
1,0.26632,0.73368,2,0.73368,0.26632,0.46736,2,0.23368,1,-1.0134,1.0134,1
1,0.1135,0.8865,2,0.8865,0.1135,0.77299,2,0.3865,1,-2.0554,2.0554,1
1,0.30644,0.69356,2,0.69356,0.30644,0.38713,2,0.19356,1,-0.81683,0.81683,1
1,0.2093,0.7907,2,0.7907,0.2093,0.58141,2,0.2907,1,-1.3292,1.3292,1
1,0.11417,0.88583,2,0.88583,0.11417,0.77166,2,0.38583,1,-2.0488,2.0488,1
1,0.15154,0.84846,2,0.84846,0.15154,0.69693,2,0.34846,1,-1.7226,1.7226,1
1,0.95772,0.042279,1,0.95772,0.042279,0.91544,1,0.45772,1,3.1203,3.1203,1
1,0.96415,0.035851,1,0.96415,0.035851,0.9283,1,0.46415,1,3.2919,3.2919,1
1,0.92597,0.074028,1,0.92597,0.074028,0.85194,1,0.42597,1,2.5264,2.5264,1
1,0.95741,0.042592,1,0.95741,0.042592,0.91482,1,0.45741,1,3.1126,3.1126,1
1,0.9824,0.017602,1,0.9824,0.017602,0.9648,1,0.4824,1,4.022,4.022,1
1,0.91124,0.088756,1,0.91124,0.088756,0.82249,1,0.41124,1,2.3289,2.3289,1
1,0.97299,0.027005,1,0.97299,0.027005,0.94599,1,0.47299,1,3.5843,3.5843,1
1,0.96222,0.037779,1,0.96222,0.037779,0.92444,1,0.46222,1,3.2375,3.2375,1
1,0.99136,0.0086353,1,0.99136,0.0086353,0.98273,1,0.49136,1,4.7432,4.7432,1
1,0.94542,0.054582,1,0.94542,0.054582,0.89084,1,0.44542,1,2.8519,2.8519,1
0,0.37453,0.62547,1,0.37453,0.62547,-0.25095,2,-0.12547,1,-0.51285,-0.51285,1
0,0.39604,0.60396,1,0.39604,0.60396,-0.20793,2,-0.10396,1,-0.42201,-0.42201,1
0,0.44701,0.55299,1,0.44701,0.55299,-0.10599,2,-0.052995,1,-0.21278,-0.21278,1
0,0.42736,0.57264,1,0.42736,0.57264,-0.14529,2,-0.072644,1,-0.29265,-0.29265,1
0,0.25229,0.74771,1,0.25229,0.74771,-0.49543,2,-0.24771,1,-1.0865,-1.0865,1
1,0.55694,0.44306,1,0.55694,0.44306,0.11388,1,0.056938,1,0.22874,0.22874,1
0,0.36884,0.63116,1,0.36884,0.63116,-0.26232,2,-0.13116,1,-0.5372,-0.5372,1
0,0.39569,0.60431,1,0.39569,0.60431,-0.20862,2,-0.10431,1,-0.42346,-0.42346,1
0,0.33287,0.66713,1,0.33287,0.66713,-0.33426,2,-0.16713,1,-0.69523,-0.69523,1
1,0.50709,0.49291,1,0.50709,0.49291,0.014179,1,0.0070894,1,0.028359,0.028359,1
0,0.34156,0.65844,1,0.34156,0.65844,-0.31687,2,-0.15844,1,-0.65633,-0.65633,1
0,0.39104,0.60896,1,0.39104,0.60896,-0.21792,2,-0.10896,1,-0.44294,-0.44294,1
0,0.3649,0.6351,1,0.3649,0.6351,-0.2702,2,-0.1351,1,-0.55416,-0.55416,1
0,0.26479,0.73521,1,0.26479,0.73521,-0.47042,2,-0.23521,1,-1.0212,-1.0212,1
0,0.32074,0.67926,1,0.32074,0.67926,-0.35853,2,-0.17926,1,-0.75039,-0.75039,1
1,0.51051,0.48949,1,0.51051,0.48949,0.02102,1,0.01051,1,0.042046,0.042046,1
0,0.43594,0.56406,1,0.43594,0.56406,-0.12811,2,-0.064057,1,-0.25764,-0.25764,1
1,0.59499,0.40501,1,0.59499,0.40501,0.18998,1,0.09499,1,0.38463,0.38463,1
0,0.37866,0.62134,1,0.37866,0.62134,-0.24267,2,-0.12134,1,-0.49522,-0.49522,1
0,0.16948,0.83052,1,0.16948,0.83052,-0.66103,2,-0.33052,1,-1.5893,-1.5893,1
0,0.67691,0.32309,2,0.32309,0.67691,-0.35383,1,-0.17691,1,0.73963,-0.73962,1
1,0.44443,0.55557,2,0.55557,0.44443,0.11115,2,0.055573,1,-0.22321,0.22321,1
0,0.73808,0.26192,2,0.26192,0.73808,-0.47615,1,-0.23808,1,1.036,-1.036,1
0,0.71125,0.28875,2,0.28875,0.71125,-0.42251,1,-0.21125,1,0.90148,-0.90148,1
1,0.38956,0.61044,2,0.61044,0.38956,0.22088,2,0.11044,1,-0.44916,0.44916,1
0,0.61112,0.38888,2,0.38888,0.61112,-0.22223,1,-0.11112,1,0.45201,-0.45201,1
0,0.61352,0.38648,2,0.38648,0.61352,-0.22704,1,-0.11352,1,0.46212,-0.46212,1
0,0.52085,0.47915,2,0.47915,0.52085,-0.041698,1,-0.020849,1,0.083445,-0.083445,1
0,0.79002,0.20998,2,0.20998,0.79002,-0.58004,1,-0.29002,1,1.3251,-1.3251,1
0,0.6915,0.3085,2,0.3085,0.6915,-0.38299,1,-0.1915,1,0.80713,-0.80713,1
1,0.45108,0.54892,2,0.54892,0.45108,0.097837,2,0.048918,1,-0.1963,0.1963,1
1,0.45399,0.54601,2,0.54601,0.45399,0.092015,2,0.046007,1,-0.18455,0.18455,1
0,0.60325,0.39675,2,0.39675,0.60325,-0.2065,1,-0.10325,1,0.41902,-0.41902,1
1,0.47264,0.52736,2,0.52736,0.47264,0.054728,2,0.027364,1,-0.10956,0.10956,1
1,0.47296,0.52704,2,0.52704,0.47296,0.054087,2,0.027043,1,-0.10828,0.10828,1
1,0.37782,0.62218,2,0.62218,0.37782,0.24436,2,0.12218,1,-0.49881,0.49881,1
1,0.35779,0.64221,2,0.64221,0.35779,0.28443,2,0.14221,1,-0.58498,0.58498,1
0,0.50887,0.49113,2,0.49113,0.50887,-0.017745,1,-0.0088723,1,0.035493,-0.035493,1
1,0.41803,0.58197,2,0.58197,0.41803,0.16395,2,0.081974,1,-0.33088,0.33088,1
1,0.35674,0.64326,2,0.64326,0.35674,0.28653,2,0.14326,1,-0.58956,0.58956,1
0,0.16312,0.83688,1,0.16312,0.83688,-0.67377,2,-0.33688,1,-1.6352,-1.6352,1
0,0.070965,0.92903,1,0.070965,0.92903,-0.85807,2,-0.42903,1,-2.572,-2.572,1
0,0.10579,0.89421,1,0.10579,0.89421,-0.78843,2,-0.39421,1,-2.1345,-2.1345,1
0,0.12249,0.87751,1,0.12249,0.87751,-0.75502,2,-0.37751,1,-1.969,-1.969,1
0,0.064331,0.93567,1,0.064331,0.93567,-0.87134,2,-0.43567,1,-2.6772,-2.6772,1
0,0.16489,0.83511,1,0.16489,0.83511,-0.67023,2,-0.33511,1,-1.6223,-1.6223,1
0,0.088859,0.91114,1,0.088859,0.91114,-0.82228,2,-0.41114,1,-2.3276,-2.3276,1
0,0.10787,0.89213,1,0.10787,0.89213,-0.78427,2,-0.39213,1,-2.1127,-2.1127,1
0,0.13682,0.86318,1,0.13682,0.86318,-0.72636,2,-0.36318,1,-1.842,-1.842,1
0,0.14635,0.85365,1,0.14635,0.85365,-0.7073,2,-0.35365,1,-1.7635,-1.7635,1
1,0.97605,0.023955,1,0.97605,0.023955,0.95209,1,0.47605,1,3.7073,3.7073,1
1,0.9717,0.028298,1,0.9717,0.028298,0.9434,1,0.4717,1,3.5363,3.5363,1
1,0.98021,0.019792,1,0.98021,0.019792,0.96042,1,0.48021,1,3.9025,3.9025,1
1,0.97332,0.02668,1,0.97332,0.02668,0.94664,1,0.47332,1,3.5968,3.5968,1
1,0.98191,0.018091,1,0.98191,0.018091,0.96382,1,0.48191,1,3.9941,3.9941,1
1,0.98222,0.017779,1,0.98222,0.017779,0.96444,1,0.48222,1,4.0118,4.0118,1
1,0.97506,0.024938,1,0.97506,0.024938,0.95012,1,0.47506,1,3.6661,3.6661,1
1,0.98688,0.013117,1,0.98688,0.013117,0.97377,1,0.48688,1,4.3207,4.3207,1
1,0.63192,0.36808,1,0.63192,0.36808,0.26384,1,0.13192,1,0.54046,0.54046,1
1,0.65111,0.34889,1,0.65111,0.34889,0.30223,1,0.15111,1,0.62394,0.62394,1
1,0.64843,0.35157,1,0.64843,0.35157,0.29686,1,0.14843,1,0.61213,0.61213,1
1,0.77326,0.22674,1,0.77326,0.22674,0.54652,1,0.27326,1,1.2268,1.2268,1
1,0.62271,0.37729,1,0.62271,0.37729,0.24543,1,0.12271,1,0.50108,0.50108,1
1,0.64648,0.35352,1,0.64648,0.35352,0.29295,1,0.14648,1,0.60358,0.60358,1
1,0.63384,0.36616,1,0.63384,0.36616,0.26767,1,0.13384,1,0.54871,0.54871,1
0,0.26653,0.73347,1,0.26653,0.73347,-0.46693,2,-0.23347,1,-1.0123,-1.0123,1
1,0.54135,0.45865,1,0.54135,0.45865,0.082691,1,0.041346,1,0.16576,0.16576,1
1,0.52759,0.47241,1,0.52759,0.47241,0.055171,1,0.027586,1,0.11046,0.11046,1
1,0.066679,0.93332,2,0.93332,0.066679,0.86664,2,0.43332,1,-2.6389,2.6389,1
1,0.081198,0.9188,2,0.9188,0.081198,0.8376,2,0.4188,1,-2.4262,2.4262,1
1,0.058565,0.94143,2,0.94143,0.058565,0.88287,2,0.44143,1,-2.7773,2.7773,1
1,0.037655,0.96234,2,0.96234,0.037655,0.92469,2,0.46234,1,-3.2409,3.2409,1
1,0.028204,0.9718,2,0.9718,0.028204,0.94359,2,0.4718,1,-3.5397,3.5397,1
1,0.084741,0.91526,2,0.91526,0.084741,0.83052,2,0.41526,1,-2.3796,2.3796,1
1,0.060416,0.93958,2,0.93958,0.060416,0.87917,2,0.43958,1,-2.7442,2.7442,1
1,0.035734,0.96427,2,0.96427,0.035734,0.92853,2,0.46427,1,-3.2953,3.2953,1
1,0.049599,0.9504,2,0.9504,0.049599,0.9008,2,0.4504,1,-2.9529,2.9529,1
1,0.04287,0.95713,2,0.95713,0.04287,0.91426,2,0.45713,1,-3.1058,3.1058,1
1,0.89343,0.10657,1,0.89343,0.10657,0.78685,1,0.39343,1,2.1262,2.1262,1
1,0.81842,0.18158,1,0.81842,0.18158,0.63685,1,0.31842,1,1.5057,1.5057,1
1,0.89008,0.10992,1,0.89008,0.10992,0.78016,1,0.39008,1,2.0916,2.0916,1
1,0.76421,0.23579,1,0.76421,0.23579,0.52843,1,0.26421,1,1.1759,1.1759,1
1,0.73943,0.26057,1,0.73943,0.26057,0.47887,1,0.23943,1,1.043,1.043,1
1,0.7429,0.2571,1,0.7429,0.2571,0.4858,1,0.2429,1,1.0611,1.0611,1
1,0.62591,0.37409,1,0.62591,0.37409,0.25183,1,0.12591,1,0.51472,0.51472,1
1,0.89708,0.10292,1,0.89708,0.10292,0.79415,1,0.39708,1,2.1651,2.1651,1
1,0.74186,0.25814,1,0.74186,0.25814,0.48372,1,0.24186,1,1.0557,1.0557,1
1,0.95257,0.04743,1,0.95257,0.04743,0.90514,1,0.45257,1,2.9999,2.9999,1
1,0.92339,0.076605,1,0.92339,0.076605,0.84679,1,0.42339,1,2.4894,2.4894,1
1,0.93438,0.065616,1,0.93438,0.065616,0.86877,1,0.43438,1,2.6561,2.6561,1
1,0.94634,0.053658,1,0.94634,0.053658,0.89268,1,0.44634,1,2.87,2.87,1
1,0.96716,0.032835,1,0.96716,0.032835,0.93433,1,0.46716,1,3.3829,3.3829,1
1,0.95185,0.048155,1,0.95185,0.048155,0.90369,1,0.45185,1,2.984,2.984,1
1,0.93687,0.063132,1,0.93687,0.063132,0.87374,1,0.43687,1,2.6973,2.6973,1
1,0.98229,0.01771,1,0.98229,0.01771,0.96458,1,0.48229,1,4.0158,4.0158,1
